"Kanji","Meaning_JP","Meaning_EN","Meaning_ES","Meaning_FR","Meaning_DE","Meaning_IT","Meaning_TL","Meaning_PT","Meaning_TR","Meaning_AR","Meaning_SV","Meaning_NL","Meaning_PL","Meaning_NO","Meaning_HU","Meaning_HE","Meaning_RU","Meaning_LT"
"円","調和のとれた人間関係を築くことができる","Able to build harmonious human relationships.","Capaz de construir relaciones humanas armoniosas.","Capable de construire des relations humaines harmonieuses.","In der Lage, harmonische zwischenmenschliche Beziehungen aufzubauen.","Capace di costruire relazioni umane armoniose.","Kayang bumuo ng maayos at mapayapang ugnayan sa tao.","Capaz de construir relações humanas harmoniosas.","Uyumlu insan ilişkileri kurabilme yeteneği.","قادر على بناء علاقات إنسانية متناغمة.","Förmögen att bygga harmoniska mänskliga relationer.","In staat harmonieuze menselijke relaties op te bouwen.","Zdolny budować harmonijne relacje międzyludzkie.","I stand til å bygge harmoniske menneskelige relasjoner.","Képes harmonikus emberi kapcsolatokat építeni.","מסוגל לבנות מערכות יחסים אנושיות הרמוניות.","Способен строить гармоничные отношения между людьми.","Gali kurti harmoningus žmonių santykius."
"菜","自然の潤いを味方にする","To have the blessings of nature as an ally.","Tener las bendiciones de la naturaleza como aliada.","Avoir les bénédictions de la nature comme alliée.","Die Segnungen der Natur als Verbündete zu haben.","Avere le benedizioni della natura come alleata.","Ang pagkakaroon ng mga biyaya ng kalikasan bilang kaalyado.","Ter as bênçãos da natureza como aliada.","Doğanın nimetlerini müttefik olarak sahip olmak.","أن تكون بركات الطبيعة حليفة.","Att ha naturens välsignelser som allierad.","De zegeningen van de natuur als bondgenoot hebben.","Mieć błogosławieństwa natury jako sojusznika.","Å ha naturens velsignelser som alliert.","Hogy a természet áldásai szövetségesként legyenek.","שיש את ברכות הטבע כבת ברית.","Принять благословения природы как своего союзника.","Turėti gamtos palaiminimą kaip sąjungininką."
"安","豊かで安定した人生、そして一緒にいると安心感を与える","A rich and stable life, bringing a sense of comfort when by your side.","Una vida rica y estable, que aporta una sensación de confort a tu lado.","Une vie riche et stable, apportant une sensation de confort à vos côtés.","Ein reiches und stabiles Leben, das ein Gefühl von Geborgenheit an deiner Seite bringt.","Una vita ricca e stabile, che dona una sensazione di conforto al tuo fianco.","Isang mayaman at matatag na buhay na nagbibigay ng ginhawa kapag nasa iyong tabi.","Uma vida rica e estável, trazendo uma sensação de conforto ao seu lado.","Zengin ve istikrarlı bir yaşam, yanında huzur hissi getirir.","حياة غنية ومستقرة، تجلب شعورًا بالراحة بجانبك.","Ett rikt och stabilt liv som ger en känsla av trygghet vid din sida.","Een rijk en stabiel leven dat een gevoel van comfort aan je zijde brengt.","Bogate i stabilne życie, dające poczucie komfortu przy twoim boku.","Et rikt og stabilt liv som gir en følelse av trygghet ved din side.","Gazdag, stabil élet, amely kényelmet ad melletted.","חיים עשירים ויציבים שמביאים תחושת נוחות לצידך.","Богатая и стабильная жизнь, приносящая чувство комфорта рядом с вами.","Turtingas ir stabilus gyvenimas, teikiantis komforto pojūtį šalia jūsų."
"良","良い行いがいい人生を導くことを心得ている","Knowing that good deeds lead to a good life.","Saber que las buenas acciones conducen a una buena vida.","Savoir que les bonnes actions mènent à une bonne vie.","Zu wissen, dass gute Taten zu einem guten Leben führen.","Sapere che le buone azioni portano a una buona vita.","Alam na ang mabubuting gawa ay nagdudulot ng mabuting buhay.","Saber que boas ações conduzem a uma boa vida.","İyi davranışların iyi bir hayata götürdüğünü bilmek.","معرفة أن الأعمال الصالحة تؤدي إلى حياة طيبة.","Att veta att goda handlingar leder till ett gott liv.","Weten dat goede daden leiden tot een goed leven.","Wiedzieć, że dobre uczynki prowadzą do dobrego życia.","Å vite at gode gjerninger fører til et godt liv.","Tudni, hogy a jó cselekedetek jó élethez vezetnek.","לדעת שמעשים טובים מובילים לחיים טובים.","Знание того, что добрые дела ведут к хорошей жизни.","Žinojimas, kad geri darbai veda į gerą gyvenimą."
"宇","天井のない、広く寛容な精神で大切な相手を見守る","With a boundless, generous spirit, watching over those who matter most.","Con un espíritu ilimitado y generoso, cuidando a quienes más importan.","Avec un esprit sans limites et généreux, veillant sur ceux qui comptent le plus.","Mit einem grenzenlosen, großzügigen Geist, der über die wichtigsten Menschen wacht.","Con uno spirito sconfinato e generoso, che veglia su chi conta di più.","May malawak at mapagbigay na espiritu, nagbabantay sa mga pinakamahalaga.","Com um espírito ilimitado e generoso, cuidando daqueles que mais importam.","Sınırsız, cömert bir ruhla, en çok önem verdiklerine göz kulak olmak.","بروحٍ واسعة وكريمة، تراقب من هم الأهم.","Med en gränslös, generös anda som vakar över dem som betyder mest.","Met een grenzeloze, genereuze geest die waakt over degenen die het meest betekenen.","Z nieograniczonym, hojny duchem, czuwający nad tymi, którzy są najważniejsi.","Med en grenseløs, sjenerøs ånd som vokter over dem som betyr mest.","Határtalan, nagylelkű szellem, aki vigyáz a legfontosabbakra.","ברוח נדיבה וללא גבולות, שומרת על אלה שחשובים ביותר.","С безграничным, щедрым духом, присматривающим за теми, кто важнее всего.","Su beribe, dosnia dvasia, saugančia tuos, kurie svarbiausi."
"蓮","じっくり時間をかけてでも必ず綺麗な花を咲かせる","Taking time patiently, yet always blooming into a beautiful flower.","Tomando tiempo con paciencia, pero siempre floreciendo en una hermosa flor.","Prenant le temps avec patience, mais fleurissant toujours en une belle fleur.","Geduldig Zeit nehmend, doch immer zu einer schönen Blume erblühend.","Prendendo tempo con pazienza, ma fiorendo sempre in un bellissimo fiore.","Naglalaan ng oras nang may pasensya, ngunit laging namumulaklak bilang magandang bulaklak.","Levando tempo com paciência, mas sempre florescendo em uma bela flor.","Sabırla zaman ayırarak, ama her zaman güzel bir çiçek gibi açmak.","يأخذ الوقت بصبر، لكنه دائمًا يزهر إلى زهرة جميلة.","Tar tid tålmodigt, men blommar alltid till en vacker blomma.","Tijd nemen met geduld, maar altijd tot een mooie bloem bloeien.","Poświęcając czas cierpliwie, lecz zawsze rozkwitając w piękny kwiat.","Tar tid tålmodig, men blomstrer alltid til en vakker blomst.","Türelle időt szánva, mégis mindig gyönyörű virággá nyílva.","לוקח זמן בסבלנות, אך תמיד פורח לפרח יפהפה.","С терпением, но всегда расцветая в прекрасный цветок.","Kantriai, bet visada pražystant gražia gėle."
"栄","行動力があるので、繁栄しつづける","With the power to act, prosperity continues to flourish.","Con el poder de actuar, la prosperidad continúa floreciendo.","Avec le pouvoir d'agir, la prospérité continue de fleurir.","Mit der Kraft zu handeln blüht der Wohlstand weiter.","Con il potere di agire, la prosperità continua a fiorire.","Sa kakayahang kumilos, patuloy na umuunlad ang kasaganaan.","Com o poder de agir, a prosperidade continua a florescer.","Hareket etme gücüyle refah gelişmeye devam eder.","بقوة الفعل، تستمر الازدهار في الازدهار.","Med kraften att agera fortsätter välståndet att blomstra.","Met de kracht om te handelen blijft welvaart bloeien.","Z mocą działania dobrobyt nadal rozkwita.","Med kraft til å handle fortsetter velstand å blomstre.","A cselekvés erejével a jólét tovább virágzik.","בכוח לפעול, השגשוג ממשיך לפרוח.","С силой действовать, процветание продолжает развиваться.","Su galia veikti, klestėjimas toliau bujoja."
"平","心の平和が、本人も周囲の人も良い人生となる","Peace of mind brings a good life both to oneself and to those around.","La paz mental trae una buena vida tanto para uno mismo como para los demás.","La paix d'esprit apporte une bonne vie à soi et aux autres.","Seelenfrieden bringt ein gutes Leben für einen selbst und für andere.","La pace mentale porta una buona vita sia a se stessi che agli altri.","Ang kapayapaan ng isip ay nagdudulot ng mabuting buhay para sa sarili at sa iba.","A paz de espírito traz uma boa vida tanto para si quanto para os outros.","Zihinsel huzur hem kendine hem başkalarına iyi bir yaşam getirir.","راحة البال تجلب حياة طيبة لنفسك وللآخرين.","Sinnesro ger ett gott liv både för en själv och för andra.","Gemoedsrust brengt een goed leven voor jezelf en voor anderen.","Spokój ducha przynosi dobre życie zarówno sobie, jak i innym.","Sinnsro gir et godt liv både for en selv og for andre.","Lelki nyugalom jó életet hoz önnek és másoknak egyaránt.","שלוות נפש מביאה חיים טובים לעצמך ולאחרים.","Душевный покой приносит хорошую жизнь как самому себе, так и окружающим.","Dvasinė ramybė atneša gerą gyvenimą tiek sau, tiek aplinkiniams."
"慈","見返りのない愛を提供できる心を持っている","Possessing a heart that can give love without expecting anything in return.","Poseer un corazón que puede dar amor sin esperar nada a cambio.","Posséder un cœur capable de donner de l'amour sans rien attendre en retour.","Ein Herz besitzen, das Liebe geben kann, ohne etwas dafür zu erwarten.","Possedere un cuore che può dare amore senza aspettarsi nulla in cambio.","Magkaroon ng puso na kayang magbigay ng pag-ibig nang hindi naghihintay ng kapalit.","Possuir um coração que pode dar amor sem esperar nada em troca.","Karşılık beklemeden sevgi verebilen bir kalbe sahip olmak.","امتلاك قلب قادر على إعطاء الحب دون توقع مقابل.","Att ha ett hjärta som kan ge kärlek utan att förvänta sig något tillbaka.","Een hart bezitten dat liefde kan geven zonder iets terug te verwachten.","Posiadać serce, które potrafi dawać miłość, nie oczekując nic w zamian.","Å eie et hjerte som kan gi kjærlighet uten å forvente noe tilbake.","Olyan szív birtoklása, amely szeretetet adhat viszonzás nélkül.","בעל לב שיכול לתת אהבה מבלי לצפות לתמורה.","Обладание сердцем, которое может дарить любовь, ничего не ожидая взамен.","Turėti širdį, galinčią duoti meilę nieko nesitikint naudai."
"仁","自分や他人との約束を決して破らない信頼","Trust that never breaks promises to oneself or to others.","Confianza que nunca rompe promesas consigo mismo o con los demás.","Confiance qui ne rompt jamais les promesses envers soi-même ou envers les autres.","Vertrauen, das niemals Versprechen gegenüber sich selbst oder anderen bricht.","Fiducia che non rompe mai le promesse verso se stessi o gli altri.","Tiwala na hindi kailanman sinisira ang mga pangako sa sarili o sa iba.","Confiança que nunca quebra promessas consigo mesmo ou com os outros.","Kendine veya başkalarına verilen sözleri asla bozmayan güven.","ثقة لا تكسر الوعود لنفسك أو للآخرين أبدًا.","Ett förtroende som aldrig bryter löften mot sig själv eller andra.","Vertrouwen dat nooit beloften aan jezelf of anderen breekt.","Zaufanie, które nigdy nie łamie obietnic wobec siebie ani innych.","Tillit som aldri bryter løfter til seg selv eller andre.","Bizalom, amely soha nem szegi meg az ígéreteket önmagával vagy másokkal szemben.","אמון שאף פעם לא שובר הבטחות לעצמך או לאחרים.","Доверие, которое никогда не нарушает обещаний себе или другим.","Pasitikėjimas, kuris niekada nelaužo pažadų sau ar kitiems."
